Dissociative adsorption sticking probability coefficients: log10(gamma) = a + b * [1-exp(-c * E)] + [1 - exp(-d * E)]
Source: Hansen et al. (1992) 10.1016/0039-6028(92)90180-E

n   a   b   c   d
0   -6.616  6.258   1.821   0.606
1   -5.768  4.581   1.237   4.462
2   -4.894  9.073   0.411   6.115
3   -3.939  2.923   2.120   0.627
4   -3.387  1.511   6.768   1.444
5   -2.736  1.751   9.403   -0.248
6   -2.503  1.755   7.913   -0.526
7   -2.265  1.505   8.096   -0.430
8   -2.040  1.376   7.239   -0.489
9   -1.779  1.188   6.834   -0.512
10  -1.692  1.195   7.166   -0.603
