# reaction 1-2 from LxCat/IST-Lisbon and 3 from LxCat/TRINITI
# reaction number,reaction_formula,rate_coefficient_function
1,He -> He*,ElectronImpactMaxwellianEEDF(Helium\He_e_to_He23S_e.dat)
2,He -> He+,ElectronImpactMaxwellianEEDF(Helium\He_e_to_He-ion_e.dat)
3,He* -> He+,ElectronImpactMaxwellianEEDF(Helium\He23S_e_to_He-ion_e.dat)
4,He2+ -> He* + He,ElectronImpactTemperatureReaction(8.9e-9 cm3/s;1.0 eV;-1.5 -;1. K;1.5 -)
5,N2+ -> N2,ElectronImpactTemperatureReaction(4.8e-7 cm3/s;1. eV;-0.5 -;1. K;0.5 -)
6,N4+ -> 2 N2,ElectronImpactTemperatureReaction(2e-6 cm3/s;1 eV;-0.5 -;1 K;0.5 -)
7,He+ + 2 He -> He2+ + He,Reaction(1.1e-31 cm6/s)
8,He2+ + N2 -> He2* + N2+,Reaction(1.4e-9 cm3/s)
9,N2+ + 2 N2 -> N4+ + N2,Reaction(1.9e-29 cm6/s)
10,N2+ + N2 + He -> N4+ + He,Reaction(1.9e-29 cm6/s)
11,N4+ + N2 -> N2+ + 2 N2,Reaction(2.5e-15 cm3/s)
12,N4+ + He -> N2+ + N2 + He,Reaction(2.5e-15 cm3/s)
13,He* + 2 He -> He2* + He,Reaction(2e-34 cm6/s)
14,2 He* -> He2+,Reaction(1.5e-9 cm3/s)
15,He* + N2 -> He + N2+,Reaction(5e-11 cm3/s)
16,He2* -> 2 He,Reaction(1e-4 1/s)
17,2 He2* -> He2+ + 2 He,Reaction(1.5e-9 cm3/s)
18,He2* + N2 -> 2 He + N2+,Reaction(3e-11 cm3/s)
