#reaction,reaction_formula,rate_coefficient_function
1,He -> He*,ElectronImpactReaction()
2,He -> He+,ElectronImpactReaction()
3,He* -> He+,ElectronImpactReaction()
4,He* + 2 He -> He2* + He,Reaction(2.0e-34 cm6/s)
5,He+ + 2 He -> He2+ + He,Reaction(1.1e-31 cm6/s)
6,He2* -> 2 He,Reaction(1e4 1/s)
7,2 He* -> He2+,Reaction(1.5e-9 cm3/s)
8,2 He2* -> He2+ + 2 He,Reaction(1.5e-9 cm3/s)
9,He2+ -> He* + He,ElectronImpactTemperatureReaction(8.9e-9 cm3/s;-1.5, -;1.5 -)
10,He* + N2 -> He + N2+,Reaction(5.0e-11 cm3/s)
11,He2* + N2 -> 2 He + N2+,Reaction(3.0e-11 cm3/s)
12,He2+ + N2 -> He2* + N2+,Reaction(1.4e-9 cm3/s)
13,N2+ -> N2,ElectronImpactTemperatureReaction(4.8e-7 cm3/s;-0.5 -;0.5 -)
