	V	I
	kv	A
-24.8	0	-0.0056
-24.76	-0.08	-0.0056
-24.72	0.08	-0.0048
-24.68	0	-0.0064
-24.64	-0.08	-0.0064
-24.6	-0.08	-0.0064
-24.56	0	-0.0064
-24.52	0	-0.0056
-24.48	0	-0.0056
-24.44	0.08	-0.0048
-24.4	0.08	-0.0064
-24.36	0	-0.0056
-24.32	0	-0.0056
-24.28	0.08	-0.0072
-24.24	0.16	-0.0056
-24.2	0.16	-0.0056
-24.16	0.08	-0.0056
-24.12	0.08	-0.0056
-24.08	0.16	-0.0056
-24.04	0.08	-0.0056
-24	0.16	-0.0056
-23.96	0.16	-0.0056
-23.92	0.08	-0.0064
-23.88	0.16	-0.0048
-23.84	0.16	-0.0064
-23.8	0.24	-0.0056
-23.76	0.16	-0.0064
-23.72	0.08	-0.0056
-23.68	0.08	-0.0048
-23.64	0.24	-0.0056
-23.6	0.24	-0.0056
-23.56	0.24	-0.0064
-23.52	0.24	-0.0064
-23.48	0.24	-0.0048
-23.44	0.16	-0.0048
-23.4	0.32	-0.0048
-23.36	0.32	-0.004
-23.32	0.16	-0.0056
-23.28	0.32	-0.0048
-23.24	0.16	-0.0056
-23.2	0.24	-0.0056
-23.16	0.32	-0.0056
-23.12	0.24	-0.0048
-23.08	0.24	-0.0056
-23.04	0.24	-0.0048
-23	0.32	-0.0048
-22.96	0.32	-0.0056
-22.92	0.4	-0.004
-22.88	0.32	-0.0048
-22.84	0.4	-0.004
-22.8	0.32	-0.0048
-22.76	0.32	-0.0048
-22.72	0.32	-0.0048
-22.68	0.32	-0.0048
-22.64	0.4	-0.004
-22.6	0.32	-0.0048
-22.56	0.4	-0.004
-22.52	0.4	-0.004
-22.48	0.32	-0.0048
-22.44	0.48	-0.004
-22.4	0.4	-0.004
-22.36	0.4	-0.004
-22.32	0.48	-0.004
-22.28	0.4	-0.004
-22.24	0.4	-0.0032
-22.2	0.48	-0.004
-22.16	0.4	-0.004
-22.12	0.48	-0.0032
-22.08	0.48	-0.0024
-22.04	0.4	-0.0024
-22	0.48	-0.0024
-21.96	0.48	-0.0032
-21.92	0.48	-0.0024
-21.88	0.4	-0.0032
-21.84	0.4	-0.0032
-21.8	0.48	-0.0024
-21.76	0.56	-0.0024
-21.72	0.56	-0.0032
-21.68	0.48	-0.0024
-21.64	0.48	-0.0024
-21.6	0.4	-0.0024
-21.56	0.4	-0.0024
-21.52	0.48	-8E-4
-21.48	0.56	-0.0016
-21.44	0.48	-0.0024
-21.4	0.48	-0.0024
-21.36	0.4	-0.0024
-21.32	0.64	-8E-4
-21.28	0.56	-8E-4
-21.24	0.48	0
-21.2	0.56	-0.0016
-21.16	0.56	-0.0016
-21.12	0.48	-8E-4
-21.08	0.56	-0.0016
-21.04	0.48	0
-21	0.56	-0.0016
-20.96	0.48	8E-4
-20.92	0.56	-8E-4
-20.88	0.56	0
-20.84	0.56	-8E-4
-20.8	0.4	-8E-4
-20.76	0.56	0
-20.72	0.56	0
-20.68	0.48	0
-20.64	0.4	0
-20.6	0.48	0
-20.56	0.48	-8E-4
-20.52	0.48	8E-4
-20.48	0.48	8E-4
-20.44	0.48	8E-4
-20.4	0.56	0
-20.36	0.48	8E-4
-20.32	0.48	8E-4
-20.28	0.56	0
-20.24	0.56	0.0016
-20.2	0.4	0.0016
-20.16	0.48	0
-20.12	0.56	8E-4
-20.08	0.56	8E-4
-20.04	0.48	8E-4
-20	0.48	0.0024
-19.96	0.64	0.0016
-19.92	0.48	0.0024
-19.88	0.48	0.0016
-19.84	0.48	0.0016
-19.8	0.4	0.0016
-19.76	0.48	8E-4
-19.72	0.4	0.0032
-19.68	0.4	0.0016
-19.64	0.56	0.0024
-19.6	0.48	0.0024
-19.56	0.48	0.0016
-19.52	0.32	0.0032
-19.48	0.4	0.0024
-19.44	0.4	0.0032
-19.4	0.32	0.0024
-19.36	0.32	0.0024
-19.32	0.4	0.0016
-19.28	0.4	0.0024
-19.24	0.4	0.0016
-19.2	0.48	0.0032
-19.16	0.32	0.004
-19.12	0.24	0.0032
-19.08	0.4	0.0032
-19.04	0.32	0.0032
-19	0.4	0.0032
-18.96	0.32	0.0032
-18.92	0.4	0.0032
-18.88	0.32	0.0032
-18.84	0.4	0.0032
-18.8	0.32	0.004
-18.76	0.32	0.004
-18.72	0.32	0.004
-18.68	0.32	0.004
-18.64	0.32	0.0024
-18.6	0.32	0.004
-18.56	0.32	0.0048
-18.52	0.32	0.0032
-18.48	0.24	0.004
-18.44	0.24	0.0032
-18.4	0.32	0.0048
-18.36	0.24	0.0048
-18.32	0.32	0.0032
-18.28	0.24	0.004
-18.24	0.16	0.0032
-18.2	0.24	0.004
-18.16	0.24	0.0048
-18.12	0.24	0.0048
-18.08	0.16	0.0048
-18.04	0.24	0.0048
-18	0.16	0.004
-17.96	0.24	0.004
-17.92	0.08	0.004
-17.88	0.16	0.0048
-17.84	0.16	0.0048
-17.8	0.16	0.0032
-17.76	0.24	0.0048
-17.72	0.08	0.004
-17.68	0.16	0.004
-17.64	-0.08	0.0048
-17.6	0.08	0.004
